"title","count","i.profile.headline"
"Data Analysis","7","Senior Data Scientist at The Trade Desk"
"Modeling","3","Senior Data Scientist at The Trade Desk"
"R","3","Senior Data Scientist at The Trade Desk"
"Online Advertising",NA,"Senior Data Scientist at The Trade Desk"
"Machine Learning","1","Senior Data Scientist at The Trade Desk"
"Digital Marketing","1","Senior Data Scientist at The Trade Desk"
"Software Development","8","Senior Data Scientist at The Trade Desk"
"Mobile Devices","5","Senior Data Scientist at The Trade Desk"
"Python","5","Senior Data Scientist at The Trade Desk"
"Tableau",NA,"Senior Data Scientist at The Trade Desk"
"Linux",NA,"Senior Data Scientist at The Trade Desk"
"Databases","7","Senior Data Scientist at The Trade Desk"
"Java","10","Senior Data Scientist at The Trade Desk"
"VBA","3","Senior Data Scientist at The Trade Desk"
"Microsoft Excel","3","Senior Data Scientist at The Trade Desk"
"PowerPoint","3","Senior Data Scientist at The Trade Desk"
"C++","2","Senior Data Scientist at The Trade Desk"
"HTML","1","Senior Data Scientist at The Trade Desk"
"Vertica","1","Senior Data Scientist at The Trade Desk"
"Financial Engineering","2","Senior Data Scientist at The Trade Desk"
"Shiny","2","Director Data Science at Warner Bros. Entertainment"
"Analytics","16","Director Data Science at Warner Bros. Entertainment"
"Quantitative Research","14","Director Data Science at Warner Bros. Entertainment"
"Data Analysis","11","Director Data Science at Warner Bros. Entertainment"
"Statistics","9","Director Data Science at Warner Bros. Entertainment"
"Survey Design","9","Director Data Science at Warner Bros. Entertainment"
"Market Research","7","Director Data Science at Warner Bros. Entertainment"
"Customer Insight","6","Director Data Science at Warner Bros. Entertainment"
"Segmentation","5","Director Data Science at Warner Bros. Entertainment"
"Data Mining","4","Director Data Science at Warner Bros. Entertainment"
"Statistical Modeling","3","Director Data Science at Warner Bros. Entertainment"
"Research","4","Director Data Science at Warner Bros. Entertainment"
"Data Visualization","3","Director Data Science at Warner Bros. Entertainment"
"Analysis","3","Director Data Science at Warner Bros. Entertainment"
"Research Design","2","Director Data Science at Warner Bros. Entertainment"
"Consumer Behaviour","2","Director Data Science at Warner Bros. Entertainment"
"Data Collection","2","Director Data Science at Warner Bros. Entertainment"
"Product Development","1","Director Data Science at Warner Bros. Entertainment"
"Sociology","1","Director Data Science at Warner Bros. Entertainment"
"Consumer Insights","1","Director Data Science at Warner Bros. Entertainment"
"Analytical Skills","2","Director Data Science at Warner Bros. Entertainment"
"Consumer Behavior","1","Director Data Science at Warner Bros. Entertainment"
"R","9","Director Data Science at Warner Bros. Entertainment"
"Qualitative Research","4","Director Data Science at Warner Bros. Entertainment"
"Marketing Research","6","Director Data Science at Warner Bros. Entertainment"
"Survey Research","3","Director Data Science at Warner Bros. Entertainment"
"Advertising Research","2","Director Data Science at Warner Bros. Entertainment"
"Multivariate Statistics","1","Director Data Science at Warner Bros. Entertainment"
"Regression","1","Director Data Science at Warner Bros. Entertainment"
"Predictive Modeling","1","Director Data Science at Warner Bros. Entertainment"
"Statistics","34","Director of Data Science"
"Analytics","31","Director of Data Science"
"Predictive Analytics","14","Director of Data Science"
"Business Intelligence","12","Director of Data Science"
"Strategic Planning","8","Director of Data Science"
"Risk Management","7","Director of Data Science"
"Energy","6","Director of Data Science"
"Data Mining","6","Director of Data Science"
"Renewable Energy","5","Director of Data Science"
"Strategy","5","Director of Data Science"
"Business Process Improvement","4","Director of Data Science"
"Data Analysis","4","Director of Data Science"
"Smart Grid","3","Director of Data Science"
"Financial Modeling","3","Director of Data Science"
"Optimization","3","Director of Data Science"
"Machine Learning","3","Director of Data Science"
"Asset Management","2","Director of Data Science"
"Econometrics","1","Director of Data Science"
"Derivatives","1","Director of Data Science"
"Investments","1","Director of Data Science"
"Asset Allocation","1","Director of Data Science"
"Systems Engineering","1","Director of Data Science"
"R","11","Director of Data Science"
"SQL","7","Director of Data Science"
"SAS","7","Director of Data Science"
"Oracle","1","Director of Data Science"
"Python","1","Director of Data Science"
"Tableau","1","Director of Data Science"
"Microsoft SQL Server","1","Director of Data Science"
"Hadoop","1","Director of Data Science"
"HRIS","1","Director of Data Science"
"Leadership","7","Director of Data Science"
"Management","5","Director of Data Science"
"Performance Improvement","2","Director of Data Science"
"Data Science","5","Director of Data Science"
"Process Improvement","4","Director of Data Science"
"Brio Explorer","2","Director of Data Science"
"Predictive Modeling","1","Director of Data Science"
"Financial Research","1","Director of Data Science"
"Linear Regression","1","Director of Data Science"
"Epistemology","1","Director of Data Science"
"Netezza","1","Director of Data Science"
"SPSS Modeler","1","Director of Data Science"
"Apache Spark","1","Director of Data Science"
"Productivity","2","Director of Data Science"
"Marketing Research","1","Director of Data Science"
"Statistics","3","Senior Data Scientist"
"Big Data","5","Senior Data Scientist"
"Data Mining","3","Senior Data Scientist"
"Online Advertising","6","Senior Data Scientist"
"Online Marketing","2","Senior Data Scientist"
"Statistical Data Analysis",NA,"Senior Data Scientist"
"Project Management",NA,"Senior Data Scientist"
"Analytical Skills","1","Senior Data Scientist"
"Troubleshooting",NA,"Senior Data Scientist"
"R","2","Senior Data Scientist"
"Hadoop",NA,"Senior Data Scientist"
"Communication",NA,"Senior Data Scientist"
"Organization Skills",NA,"Senior Data Scientist"
"Behavioral Targeting",NA,"Senior Data Scientist"
"Real-Time Bidding",NA,"Senior Data Scientist"
"Apache Pig",NA,"Senior Data Scientist"
"Conceptualizer",NA,"Senior Data Scientist"
"Team Player",NA,"Senior Data Scientist"
"Methodological Thinking",NA,"Senior Data Scientist"
"Digital Strategy","25","GM, Data Science at The Trade Desk"
"Online Advertising","25","GM, Data Science at The Trade Desk"
"Digital Media","23","GM, Data Science at The Trade Desk"
"Digital Marketing","22","GM, Data Science at The Trade Desk"
"Analytics","16","GM, Data Science at The Trade Desk"
"Advertising","13","GM, Data Science at The Trade Desk"
"Data Analysis","9","GM, Data Science at The Trade Desk"
"Mobile Marketing","8","GM, Data Science at The Trade Desk"
"Web Analytics","6","GM, Data Science at The Trade Desk"
"Online Marketing","5","GM, Data Science at The Trade Desk"
"Social Media Marketing","4","GM, Data Science at The Trade Desk"
"SEM","3","GM, Data Science at The Trade Desk"
"Strategy","3","GM, Data Science at The Trade Desk"
"Social Media","3","GM, Data Science at The Trade Desk"
"PPC","2","GM, Data Science at The Trade Desk"
"Statistics","1","GM, Data Science at The Trade Desk"
"Machine Learning",NA,"GM, Data Science at The Trade Desk"
"SQL","2","GM, Data Science at The Trade Desk"
"R",NA,"GM, Data Science at The Trade Desk"
"Python",NA,"GM, Data Science at The Trade Desk"
"RTB","3","GM, Data Science at The Trade Desk"
"Regression Models",NA,"GM, Data Science at The Trade Desk"
"Text Analytics",NA,"GM, Data Science at The Trade Desk"
"E-commerce","11","Information Services"
"Online Advertising","9","Information Services"
"Email Marketing","6","Information Services"
"SEO","5","Information Services"
"Marketing Strategy","2","Information Services"
"Social Media Marketing","2","Information Services"
"Small Business","2","Information Services"
"SEM","2","Information Services"
"Entrepreneurship","2","Information Services"
"Web Development","1","Information Services"
"Web Analytics","1","Information Services"
"Advertising","1","Information Services"
"Marketing",NA,"Information Services"
"Affiliate Marketing",NA,"Information Services"
"Databases",NA,"Information Services"
"Microsoft SQL Server",NA,"Information Services"
"PHP",NA,"Information Services"
"Customer Service","2","Information Services"
"Web Marketing","4","Information Services"
